drink_name,Calories,Fat (g),Carb. (g),Fiber (g),Protein,Sodium
Cool Lime Starbucks Refreshers™ Beverage,45.00,0.00,11.00,0.00,0.00,10.00
Ombré Pink Drink,-,-,-,-,-,-
Pink Drink,-,-,-,-,-,-
Strawberry Acai Starbucks Refreshers™ Beverage,80.00,0.00,18.00,1.00,0.00,10.00
Very Berry Hibiscus Starbucks Refreshers™ Beverage,60.00,0.00,14.00,1.00,0.00,10.00
Violet Drink,-,-,-,-,-,-
Evolution Fresh™ Cold-Pressed Apple Berry Juice,-,-,-,-,-,-
Evolution Fresh™ Defense Up,-,-,-,-,-,-
Evolution Fresh™ Organic Ginger Limeade,110.00,0.00,28.00,0.00,0.00,5.00
Iced Coffee,0.00,0.00,0.00,0.00,0.00,0.00
Iced Coffee with Milk,-,-,-,-,-,-
Iced Espresso Classics - Vanilla Latte,130.00,2.50,21.00,0.00,5.00,65.00
Iced Espresso Classics - Caffe Mocha,140.00,2.50,23.00,0.00,5.00,90.00
Iced Espresso Classics - Caramel Macchiato,130.00,2.50,21.00,0.00,5.00,65.00
Starbucks® Caramel Iced Coffee,-,-,-,-,-,-
Starbucks® Iced Coffee + Milk,-,-,-,-,-,-
Starbucks® Low Calorie Iced Coffee + Milk,-,-,-,-,-,-
Starbucks® Vanilla Iced Coffee,-,-,-,-,-,-
Shaken Sweet Tea,80.00,0.00,19.00,0.00,0.00,10.00
Tazo® Bottled Berry Blossom White,60.00,0.00,15.00,0.00,0.00,10.00
Tazo® Bottled Black Mango,150.00,0.00,38.00,0.00,0.00,15.00
Tazo® Bottled Black with Lemon,140.00,0.00,35.00,0.00,0.00,10.00
Tazo® Bottled Brambleberry,140.00,0.00,35.00,0.00,0.00,15.00
Tazo® Bottled Giant Peach,150.00,0.00,37.00,0.00,0.00,15.00
Tazo® Bottled Iced Passion,70.00,0.00,17.00,0.00,0.00,10.00
Tazo® Bottled Lemon Ginger,120.00,0.00,31.00,0.00,0.00,10.00
Tazo® Bottled Organic Black Lemonade,140.00,0.00,35.00,0.00,0.00,10.00
Tazo® Bottled Organic Iced Black Tea,60.00,0.00,15.00,0.00,0.00,10.00
Tazo® Bottled Organic Iced Green Tea,120.00,0.00,31.00,0.00,0.00,10.00
Tazo® Bottled Plum Pomegranate,140.00,0.00,35.00,0.00,0.00,10.00
Tazo® Bottled Tazoberry,150.00,0.00,38.00,0.00,0.00,15.00
Tazo® Bottled White Cranberry,140.00,0.00,35.00,0.00,0.00,10.00
Teavana® Shaken Iced Black Tea,30.00,0.00,8.00,0.00,0.00,5.00
Teavana® Shaken Iced Black Tea Lemonade,70.00,0.00,17.00,0.00,0.00,0.00
Teavana® Shaken Iced Green Tea,30.00,0.00,8.00,0.00,0.00,5.00
Teavana® Shaken Iced Green Tea Lemonade,70.00,0.00,17.00,0.00,0.00,5.00
Teavana® Shaken Iced Passion Tango™ Tea,30.00,0.00,8.00,0.00,0.00,5.00
Teavana® Shaken Iced Passion Tango™ Tea Lemonade,90.00,0.00,24.00,0.00,0.00,0.00
Teavana® Shaken Iced Peach Green Tea,60.00,0.00,15.00,0.00,0.00,0.00
Iced Espresso Classics - Vanilla Latte,130.00,2.50,21.00,0.00,5.00,65.00
Iced Espresso Classics - Caffe Mocha,140.00,2.50,23.00,0.00,5.00,90.00
Iced Espresso Classics - Caramel Macchiato,130.00,2.50,21.00,0.00,5.00,65.00
Iced Espresso Classics - Skinny Caramel Macchiato,-,-,-,-,-,-
Iced Espresso Classics - Skinny Vanilla Latte,-,-,-,-,-,-
Starbucks Doubleshot® Energy Coffee Drink,-,-,-,-,-,-
Starbucks Doubleshot® Energy Mexican Mocha,-,-,-,-,-,-
Starbucks Doubleshot® Energy Mocha Drink,-,-,-,-,-,-
Starbucks Doubleshot® Energy Vanilla Drink,-,-,-,-,-,-
Starbucks Doubleshot® Energy White Chocolate Drink,-,-,-,-,-,-
Starbucks Doubleshot® Energy+Cinnamon Dolce Drink,-,-,-,-,-,-
Starbucks Doubleshot® Espresso Cubano,-,-,-,-,-,-
Starbucks Doubleshot® Espresso Drink,-,-,-,-,-,-
Starbucks Doubleshot® Espresso Salted Caramel Cream,-,-,-,-,-,-
Starbucks Doubleshot® Light Espresso Drink,-,-,-,-,-,-
Starbucks Doubleshot® Protein Caramel,-,-,-,-,-,-
Starbucks Refreshers™ Raspberry Pomegranate,90.00,0.00,27.00,0.00,0.00,0.00
Starbucks Refreshers™ Strawberry Lemonade,90.00,0.00,27.00,0.00,0.00,0.00
Starbucks® Bottled Caramel Frappuccino® Coffee Drink,-,-,-,-,-,-
Starbucks® Bottled Coffee Frappuccino® Coffee Drink,-,-,-,-,-,-
"Starbucks® Bottled Cold Brew Black, Unsweetened",-,-,-,-,-,-
Starbucks® Bottled Cold Brew Cocoa and Honey with Cream,-,-,-,-,-,-
Starbucks® Bottled Dulce de Leche Frappuccino® Coffee Drink,-,-,-,-,-,-
Starbucks® Bottled Mocha Frappuccino® Coffee Drink,-,-,-,-,-,-
Starbucks® Bottled Mocha Light Frappuccino® Coffee Drink,-,-,-,-,-,-
Starbucks® Bottled S'mores Frappuccino® Coffee Drink,-,-,-,-,-,-
Starbucks® Bottled Vanilla Frappuccino® Coffee Drink,-,-,-,-,-,-
Starbucks® Bottled Vanilla Light Frappuccino® Coffee Drink,-,-,-,-,-,-
Starbucks® Caramel Iced Coffee,-,-,-,-,-,-
Starbucks® Doubleshot Protein Dark Chocolate,210.00,2.50,33.00,2.00,20.00,115.00
Starbucks® Doubleshot Protein Vanilla,200.00,2.50,34.00,2.00,20.00,120.00
Starbucks® Iced Coffee + Milk,-,-,-,-,-,-
Starbucks® Iced Coffee Caramel,60.00,0.00,13.00,0.00,1.00,0.00
Starbucks® Iced Coffee Light Sweetened,50.00,0.00,11.00,0.00,1.00,0.00
Starbucks® Iced Coffee Unsweetened,10.00,0.00,2.00,0.00,1.00,0.00
Starbucks® Low Calorie Iced Coffee + Milk,-,-,-,-,-,-
Starbucks® Refreshers™ - Black Cherry Limeade with Coconut Water,-,-,-,-,-,-
Starbucks® Vanilla Iced Coffee,-,-,-,-,-,-
Tazo® Bottled Berry Blossom White,60.00,0.00,15.00,0.00,0.00,10.00
Tazo® Bottled Black Mango,150.00,0.00,38.00,0.00,0.00,15.00
Tazo® Bottled Black with Lemon,140.00,0.00,35.00,0.00,0.00,10.00
Tazo® Bottled Brambleberry,140.00,0.00,35.00,0.00,0.00,15.00
Tazo® Bottled Giant Peach,150.00,0.00,37.00,0.00,0.00,15.00
Tazo® Bottled Iced Passion,70.00,0.00,17.00,0.00,0.00,10.00
Tazo® Bottled Lemon Ginger,120.00,0.00,31.00,0.00,0.00,10.00
Tazo® Bottled Organic Black Lemonade,140.00,0.00,35.00,0.00,0.00,10.00
Tazo® Bottled Organic Iced Black Tea,60.00,0.00,15.00,0.00,0.00,10.00
Tazo® Bottled Organic Iced Green Tea,120.00,0.00,31.00,0.00,0.00,10.00
Tazo® Bottled Plum Pomegranate,140.00,0.00,35.00,0.00,0.00,10.00
Tazo® Bottled Tazoberry,150.00,0.00,38.00,0.00,0.00,15.00
Tazo® Bottled White Cranberry,140.00,0.00,35.00,0.00,0.00,10.00
Teavana® Mango Black Tea,-,-,-,-,-,-
Teavana® Passion Tango® Herbal Tea,-,-,-,-,-,-
Teavana® Peach Green Tea,-,-,-,-,-,-
White Chocolate Mocha Bottled Frappuccino,-,-,-,-,-,-
Blonde Roast,5.00,0.00,0.00,0.00,1.00,10.00
Caffè Misto,-,-,-,-,-,-
Clover® Brewed Coffee,10.00,0.00,0.00,0.00,1.00,10.00
Coffee Traveler,-,-,-,-,-,-
Decaf Pike Place® Roast,5.00,0.00,0.00,0.00,1.00,10.00
Featured Dark Roast,5.00,0.00,0.00,0.00,1.00,10.00
Iced Coffee,5.00,0.00,0.00,0.00,0.00,5.00
Iced Coffee with Milk,-,-,-,-,-,-
Nariño 70 Cold Brew,5.00,0.00,0.00,0.00,0.00,15.00
Nariño 70 Cold Brew with Milk,0.00,0.00,0.00,0.00,0.00,0.00
Nitro Cold Brew,5.00,0.00,0.00,0.00,0.00,10.00
Nitro Cold Brew with Sweet Cream,70.00,5.00,5.00,0.00,1.00,20.00
Pike Place® Roast,5.00,0.00,0.00,0.00,1.00,10.00
Toasted Coconut Cold Brew,-,-,-,-,-,-
Vanilla Sweet Cream Cold Brew,110.00,6.00,14.00,0.00,1.00,25.00
Hot Chocolate,320.00,9.00,47.00,4.00,14.00,160.00
Starbucks® Signature Hot Chocolate,430.00,26.00,45.00,5.00,12.00,115.00
Caffè Americano,-,-,-,-,-,-
Caffè Latte,190.00,7.00,19.00,0.00,13.00,170.00
Caffè Mocha,290.00,8.00,42.00,4.00,13.00,140.00
Cappuccino,120.00,4.00,12.00,0.00,8.00,100.00
Caramel Macchiato,250.00,7.00,35.00,0.00,10.00,150.00
Cascara Coconutmilk Latte,-,-,-,-,-,-
Cinnamon Dolce Latte,260.00,6.00,40.00,0.00,11.00,150.00
Coconutmilk Mocha Macchiato,250.00,9.00,32.00,0.00,12.00,180.00
Espresso,-,-,-,-,-,-
Espresso Con Panna,-,-,-,-,-,-
Espresso Macchiato,-,-,-,-,-,-
Flat White,180.00,7.00,18.00,0.00,12.00,160.00
Iced Caffè Americano,-,-,-,-,-,-
Iced Caffè Latte,130.00,4.50,13.00,0.00,8.00,115.00
Iced Caffè Mocha,230.00,6.00,36.00,4.00,9.00,90.00
Iced Caramel Macchiato,250.00,7.00,37.00,0.00,10.00,150.00
Iced Cascara Coconutmilk Latte,-,-,-,-,-,-
Iced Cinnamon Dolce Latte,200.00,4.00,34.00,0.00,7.00,95.00
Iced Coconutmilk Mocha Macchiato,260.00,9.00,34.00,0.00,11.00,180.00
Iced Skinny Cinnamon Dolce Latte,-,-,-,-,-,-
Iced Skinny Mocha,-,-,-,-,-,-
Iced Vanilla Latte,190.00,4.00,30.00,0.00,7.00,100.00
Iced White Chocolate Mocha,300.00,8.00,47.00,0.00,10.00,190.00
Latte Macchiato,190.00,7.00,19.00,0.00,12.00,160.00
Latte Macchiato,190.00,7.00,19.00,0.00,12.00,160.00
Skinny Mocha,-,-,-,-,-,-
Starbucks Doubleshot® on Ice Beverage,45.00,1.00,5.00,0.00,3.00,40.00
Vanilla Latte,250.00,6.00,37.00,0.00,12.00,150.00
White Chocolate Mocha,360.00,11.00,53.00,0.00,14.00,240.00
Caffè Vanilla Frappuccino® Blended Coffee,-,-,-,-,-,-
Caffè Vanilla Light Frappuccino® Blended Coffee,-,-,-,-,-,-
Caramel Cocoa Cluster Frappuccino® Blended Coffee,-,-,-,-,-,-
Caramel Frappuccino® Blended Coffee,-,-,-,-,-,-
Caramel Light Frappuccino® Blended Coffee,-,-,-,-,-,-
Chai Crème Frappuccino® Blended Crème,-,-,-,-,-,-
Cinnamon Dolce Frappuccino® Blended Coffee,350.00,4.50,64.00,0.00,15.00,0.00
Cinnamon Dolce Light Frappuccino® Blended Coffee,-,-,-,-,-,-
Cinnamon Roll Frappuccino® Blended Coffee,-,-,-,-,-,-
Coffee Frappuccino® Blended Coffee,-,-,-,-,-,-
